Time,Open,High,Low,Close,Volume
12/29/2023,4782.88,4788.43,4751.99,4769.83,1744617290
12/28/2023,4786.44,4793.3,4780.98,4783.35,1484576350
12/27/2023,4773.45,4785.39,4768.9,4781.58,1613387599
12/26/2023,4758.86,4784.72,4758.45,4774.75,1446123076
12/22/2023,4753.92,4772.94,4736.77,4754.63,1751108227
12/21/2023,4724.29,4748.71,4708.35,4746.75,2161613127
12/20/2023,4764.73,4778.01,4697.82,4698.35,2481584831
12/19/2023,4743.72,4768.69,4743.72,4768.37,2343967459
12/18/2023,4725.58,4749.52,4725.58,4740.56,2431569697
12/15/2023,4714.23,4725.53,4704.69,4719.19,5291443423
12/14/2023,4721.04,4738.57,4694.34,4719.55,3861364751
12/13/2023,4646.2,4709.69,4643.23,4707.09,2968692293
12/12/2023,4618.3,4643.93,4608.09,4643.7,2348740164
12/11/2023,4593.39,4623.71,4593.39,4622.44,2421573608
12/08/2023,4576.2,4609.23,4574.06,4604.37,2307905221
12/07/2023,4568.84,4590.92,4565.22,4585.59,2457048305
12/06/2023,4586.23,4590.74,4546.5,4549.34,2383220473
12/05/2023,4557.25,4578.56,4551.68,4567.18,2322321833
12/04/2023,4564.37,4572.37,4546.72,4569.78,2465568577
12/01/2023,4559.43,4599.39,4554.71,4594.63,2505721705
11/30/2023,4554.87,4569.89,4537.24,4567.8,3541778970
11/29/2023,4571.84,4587.64,4547.15,4550.58,2423616420
11/28/2023,4545.55,4568.14,4540.51,4554.89,2097872795
11/27/2023,4554.86,4560.52,4546.32,4550.43,2000833401
11/24/2023,4555.84,4560.31,4552.8,4559.34,883871606
11/22/2023,4553.04,4568.43,4545.05,4556.62,1886910426
11/21/2023,4538.77,4542.14,4525.51,4538.19,2059443812
11/20/2023,4511.7,4557.11,4510.36,4547.38,2183094585
11/17/2023,4509.55,4520.12,4499.66,4514.02,2273204200
11/16/2023,4497.08,4511.99,4487.83,4508.24,2502113762
11/15/2023,4505.3,4521.17,4495.31,4502.88,2555968121
11/14/2023,4458.97,4508.67,4458.97,4495.7,2672131739
11/13/2023,4406.66,4421.76,4393.82,4411.55,1991619458
11/10/2023,4364.15,4418.03,4353.34,4415.24,2231546561
11/09/2023,4391.41,4393.4,4343.94,4347.35,2361060379
11/08/2023,4384.37,4391.2,4359.76,4382.78,2285134021
11/07/2023,4366.21,4386.26,4355.41,4378.38,2273382086
11/06/2023,4364.27,4372.21,4347.53,4365.98,2177065334
11/03/2023,4334.23,4373.62,4334.23,4358.34,2683282215
11/02/2023,4268.26,4319.72,4268.26,4317.78,2808160224
11/01/2023,4201.27,4245.64,4197.74,4237.86,2804876425
10/31/2023,4171.33,4195.55,4153.12,4193.8,2701786725
10/30/2023,4139.39,4177.47,4132.94,4166.82,2600517109
10/27/2023,4152.93,4156.7,4103.78,4117.37,2784710672
10/26/2023,4175.99,4183.6,4127.9,4137.23,2959734415
10/25/2023,4232.42,4232.42,4181.42,4186.77,2665565303
10/24/2023,4235.79,4259.38,4219.43,4247.68,2472963274
10/23/2023,4210.4,4255.84,4189.22,4217.04,2454581997
10/20/2023,4273.85,4276.56,4223.03,4224.16,2734219191
10/19/2023,4321.36,4339.54,4269.69,4278,2635705086
10/18/2023,4357.35,4364.2,4303.84,4314.6,2390659124
10/17/2023,4345.23,4393.57,4337.54,4373.2,2355659575
10/16/2023,4342.37,4383.33,4342.37,4373.63,2124400350
10/13/2023,4360.49,4377.1,4311.97,4327.78,2302663368
10/12/2023,4380.94,4385.85,4325.43,4349.61,2344769422
10/11/2023,4366.59,4378.64,4345.34,4376.95,2115648071
10/10/2023,4339.75,4385.46,4339.64,4358.24,2160880932
10/09/2023,4289.02,4341.73,4283.79,4335.66,1991524626
10/06/2023,4234.79,4324.1,4219.55,4308.5,2493423103
10/05/2023,4259.31,4267.13,4225.91,4258.19,2230253462
10/04/2023,4233.83,4268.5,4220.48,4263.75,2329779403
10/03/2023,4269.75,4281.15,4216.45,4229.45,2430973527
10/02/2023,4284.52,4300.58,4260.21,4288.39,2419266832
09/29/2023,4328.18,4333.15,4274.86,4288.05,2411036284
09/28/2023,4269.65,4317.27,4264.38,4299.7,2235764324
09/27/2023,4282.63,4292.07,4238.63,4274.51,2299297267
09/26/2023,4312.88,4313.01,4265.98,4273.53,2129442202
09/25/2023,4310.62,4338.51,4302.7,4337.44,1858119044
09/22/2023,4341.74,4357.4,4316.49,4320.06,2135953365
09/21/2023,4374.36,4375.7,4329.17,4330,2298552282
09/20/2023,4452.81,4461.03,4401.38,4402.2,1976745837
09/19/2023,4445.41,4449.85,4416.61,4443.95,2018270144
09/18/2023,4445.13,4466.36,4442.11,4453.53,1932361461
09/15/2023,4497.98,4497.98,4447.21,4450.32,4244973105
09/14/2023,4487.78,4511.99,4478.69,4505.1,2275484003
09/13/2023,4462.65,4479.39,4453.52,4467.44,2268926200
09/12/2023,4473.27,4487.11,4456.83,4461.9,2184137855
09/11/2023,4480.98,4490.77,4467.89,4487.46,2165432434
09/08/2023,4451.3,4473.53,4448.38,4457.49,2076441612
09/07/2023,4434.55,4457.81,4430.46,4451.14,2441134922
09/06/2023,4490.35,4490.35,4442.38,4465.48,2138052710
09/05/2023,4510.06,4514.29,4496.01,4496.83,2128341430
09/01/2023,4530.6,4541.25,4501.35,4515.77,1958155311
08/31/2023,4517.01,4532.26,4507.39,4507.66,2352361081
08/30/2023,4500.34,4521.65,4493.59,4514.87,1827645178
08/29/2023,4432.75,4500.14,4431.68,4497.63,1936663046
08/28/2023,4426.03,4439.56,4414.98,4433.31,1669881577
08/25/2023,4389.38,4418.46,4356.29,4405.71,1976128172
08/24/2023,4455.16,4458.3,4375.55,4376.31,2077193771
08/23/2023,4396.44,4443.18,4396.44,4436.01,2013748142
08/22/2023,4415.33,4418.59,4382.77,4387.55,1905849406
08/21/2023,4380.28,4407.55,4360.3,4399.77,2057592847
08/18/2023,4344.88,4381.82,4335.31,4369.71,2157858548
08/17/2023,4416.32,4421.17,4364.83,4370.36,2216839469
08/16/2023,4433.79,4449.95,4403.55,4404.33,2001143711
